id,openness,conscientiousness,extraversion,agreeableness,neuroticism,big5Accuracy,extraverted,intuitive,thinking,judging,mbtiAccuracy,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,MBTI
1,76.67,58.33,58.33,65.83,48.33,6,2,69,58,37,7,1,4,4,3,6,6,4,5,7,2,INTP
2,67.5,77.5,50.0,73.33,70.0,7,17,55,53,54,6,2,1,5,6,6,6,5,2,3,5,INTJ
3,66.67,75.0,68.33,70.0,60.83,5,63,28,35,47,6,5,4,6,7,5,2,6,1,3,5,ESFP
4,54.17,70.0,54.17,73.33,62.5,5,33,45,58,67,6,3,3,6,2,2,3,5,2,7,7,ISTJ
5,78.33,41.67,72.5,80.83,74.17,5,65,69,14,22,6,7,3,4,6,7,3,7,5,5,5,ENFP
6,65.0,55.0,70.83,70.0,76.67,6,71,59,31,37,6,6,4,3,7,6,3,4,5,2,2,ENFP
7,76.67,72.5,75.0,84.17,62.5,6,83,63,24,43,5,6,1,4,3,4,2,7,5,2,1,ENFP
8,74.17,61.67,60.83,72.5,67.5,6,49,41,44,33,3,4,3,3,6,5,4,6,6,3,4,ISFP
9,62.5,72.5,60.0,54.17,60.0,6,35,56,79,60,5,4,5,6,6,3,4,2,4,6,4,INTJ
10,59.17,63.33,54.17,75.83,60.83,5,21,38,53,39,5,3,3,6,5,6,7,5,5,6,5,ISTP
11,56.67,64.17,30.0,80.0,73.33,5,7,28,42,43,6,1,5,1,3,3,7,4,4,2,2,ISFP
12,64.17,46.67,49.17,74.17,66.67,4,42,59,29,31,6,3,2,3,4,4,4,4,6,4,3,INFP
13,73.33,50.0,64.17,76.67,62.5,6,46,46,32,49,4,3,3,5,6,5,5,4,4,3,5,ISFP
14,51.67,42.5,59.17,77.5,65.0,6,33,27,36,56,4,2,1,5,2,2,6,7,2,5,6,ISFJ
15,65.0,72.5,76.67,74.17,65.0,6,75,42,39,78,6,5,3,4,5,5,4,4,2,4,3,ESFJ
16,74.17,80.83,75.83,65.0,40.83,5,57,45,53,63,5,4,2,4,5,7,4,6,1,7,3,ESTJ
17,66.67,73.33,60.83,68.33,58.33,5,24,51,67,44,5,4,3,6,2,7,5,5,5,6,5,INTP
18,71.67,68.33,78.33,77.5,59.17,5,78,44,32,54,6,7,5,3,2,6,1,7,2,4,1,ESFJ
19,90.0,62.5,87.5,73.33,70.83,5,82,56,36,46,6,7,5,4,6,7,2,5,7,2,3,ENFP
20,59.17,87.5,58.33,79.17,48.33,6,26,21,43,78,6,5,2,7,7,2,6,6,1,5,7,ISFJ
21,69.17,66.67,75.0,62.5,44.17,6,68,64,42,57,3,5,3,4,2,7,1,5,3,5,1,ENFJ
22,82.5,79.17,55.0,80.0,49.17,6,29,87,33,56,5,4,2,5,5,7,5,5,3,4,2,INFJ
23,56.67,56.67,70.0,65.0,64.17,5,51,44,29,29,3,5,5,5,5,4,4,5,5,5,4,ESFP
24,75.0,53.33,83.33,70.0,59.17,6,85,67,49,11,6,6,2,4,6,5,1,4,6,3,3,ENFP
25,55.83,60.0,65.0,55.0,67.5,5,25,49,39,49,2,4,3,4,7,4,7,7,3,3,6,ISFP
26,84.17,67.5,42.5,86.67,60.0,6,8,64,74,76,6,2,2,5,6,3,6,6,2,5,4,INTJ
27,64.17,66.67,58.33,72.5,65.83,5,33,56,39,35,5,4,2,4,6,5,6,6,6,4,3,INFP
28,74.17,65.0,59.17,69.17,63.33,5,37,72,42,39,5,2,1,4,3,6,6,4,5,3,3,INFP
29,75.0,55.83,43.33,57.5,46.67,6,43,84,40,61,6,2,1,5,5,7,6,7,5,5,1,INFJ
30,83.33,58.33,63.33,74.17,63.33,4,49,74,36,29,5,4,2,3,4,4,3,6,5,4,2,INFP
31,77.5,80.0,50.0,72.5,40.0,7,18,52,40,54,5,3,1,5,2,5,5,5,3,6,3,INFJ
32,75.0,70.83,52.5,86.67,73.33,7,19,39,18,64,6,3,1,5,7,6,7,7,3,5,2,ISFJ
33,75.0,91.67,45.0,69.17,67.5,7,8,77,42,64,5,2,5,7,5,5,7,3,1,5,2,INFJ
34,81.67,63.33,68.33,86.67,65.0,6,43,59,24,37,5,5,4,5,6,6,3,6,5,3,1,INFP
35,80.0,67.5,40.0,80.83,65.83,4,1,55,53,53,4,2,4,4,5,5,6,4,5,4,1,INTJ
36,77.5,59.17,53.33,76.67,74.17,3,18,62,57,53,5,2,4,4,6,6,5,4,5,5,4,INTJ
37,65.83,53.33,50.0,50.83,60.83,5,53,52,74,43,5,4,5,3,4,4,2,2,5,4,2,ENTP
38,79.17,48.33,45.83,77.5,77.5,3,7,63,24,31,7,2,5,2,6,2,3,7,7,3,1,INFP
39,24.17,51.67,25.0,75.0,66.67,5,28,36,42,80,6,4,1,3,6,3,5,7,5,6,3,ISFJ
40,53.33,60.83,77.5,84.17,38.33,5,74,27,32,63,6,6,2,6,5,6,3,7,2,7,2,ESFJ
41,75.83,74.17,45.0,69.17,90.83,6,24,73,36,58,7,2,6,6,7,3,5,4,2,1,2,INFJ
42,95.83,60.0,89.17,91.67,50.83,6,94,85,8,33,6,7,3,6,5,7,1,7,5,5,1,ENFP
43,64.17,67.5,46.67,50.0,46.67,5,30,65,75,55,5,1,4,4,1,3,4,2,3,5,4,INTJ
44,80.0,95.0,46.67,85.83,59.17,4,1,31,14,92,7,1,2,7,6,2,7,7,1,4,7,ISFJ
45,87.5,43.33,58.33,93.33,63.33,7,39,79,6,17,7,4,2,2,7,7,5,7,7,1,1,INFP
46,80.0,43.33,50.0,81.67,70.0,4,67,59,54,33,3,6,5,3,6,6,3,3,2,3,5,ENTP
47,83.33,68.33,52.5,72.5,50.0,5,25,59,35,21,6,2,6,6,3,7,5,4,3,4,1,INFP
48,75.83,50.0,39.17,59.17,89.17,6,11,53,56,8,6,2,7,3,7,5,5,3,4,1,2,INTP
49,60.0,55.0,35.83,63.33,70.83,6,11,38,72,18,5,1,3,4,5,6,7,1,5,5,4,ISTP
50,58.33,85.83,45.0,49.17,66.67,5,10,28,67,71,6,1,6,7,5,6,7,5,1,5,6,ISTJ
51,84.17,72.5,45.83,73.33,88.33,6,19,71,53,49,6,1,5,4,7,6,4,3,3,3,2,INTP
52,76.67,77.5,63.33,74.17,70.0,6,26,62,37,53,5,4,6,6,6,6,4,6,2,5,2,INFJ
53,76.67,67.5,65.83,68.33,58.33,6,49,70,33,43,5,6,7,5,3,6,5,6,6,5,2,INFP
54,48.33,66.67,32.5,55.0,73.33,4,11,23,72,53,6,1,3,6,5,2,6,5,5,6,6,ISTJ
55,84.17,53.33,67.5,83.33,69.17,6,36,71,19,33,5,3,2,5,5,6,5,6,5,5,2,INFP
56,80.83,70.83,54.17,70.0,40.0,4,18,85,65,33,7,3,6,4,2,7,4,2,3,6,2,INTP
57,77.5,76.67,41.67,87.5,72.5,5,17,39,33,31,4,1,2,4,5,5,6,5,4,4,3,ISFP
58,85.83,46.67,36.67,93.33,82.5,3,6,67,33,28,6,2,5,3,6,5,6,6,5,2,3,INFP
59,77.5,67.5,58.33,84.17,64.17,6,35,66,17,57,5,5,2,4,6,5,5,7,3,5,3,INFJ
60,79.17,59.17,56.67,76.67,78.33,6,12,83,57,31,6,3,2,3,4,5,5,3,3,3,2,INTP
61,69.17,55.83,45.83,66.67,52.5,6,10,53,57,36,6,3,5,4,2,6,6,4,7,7,5,INTP
62,80.83,80.83,70.0,71.67,60.0,7,65,53,32,57,5,6,4,6,5,7,4,6,2,6,1,ENFJ
63,65.0,84.17,65.0,95.0,66.67,6,44,44,31,60,6,4,2,5,5,4,6,7,3,5,5,ISFJ
64,72.5,53.33,47.5,66.67,40.83,7,22,38,56,29,5,4,2,4,1,5,6,6,5,7,4,ISTP
65,65.83,55.83,28.33,84.17,86.67,4,1,55,43,43,5,2,4,2,7,3,7,2,4,3,3,INFP
66,83.33,75.0,68.33,65.0,44.17,3,48,68,78,46,5,3,6,6,2,5,3,2,5,5,5,INTP
67,82.5,57.5,46.67,75.83,68.33,5,39,66,44,28,2,3,5,3,5,6,5,6,5,4,2,INFP
68,88.33,65.83,57.5,96.67,61.67,6,54,83,15,31,6,5,5,3,5,6,2,7,5,6,2,ENFP
69,84.17,58.33,61.67,76.67,63.33,4,49,78,43,18,6,3,3,2,3,7,5,5,7,5,2,INFP
70,93.33,63.33,40.0,92.5,98.33,7,12,89,7,17,7,1,3,1,7,6,7,7,2,2,3,INFP
71,69.17,79.17,49.17,85.0,55.0,3,19,56,60,60,6,3,5,6,5,4,5,3,4,5,1,INTJ
72,68.33,45.83,55.0,58.33,88.33,3,26,70,65,33,6,4,6,2,4,6,3,1,7,3,2,INTP
73,83.33,70.0,36.67,60.0,97.5,5,19,94,71,82,6,1,6,5,7,6,5,3,4,2,1,INTJ
74,79.17,59.17,38.33,83.33,55.83,5,10,76,26,14,7,2,2,1,3,5,3,5,6,5,1,INFP
75,83.33,53.33,51.67,82.5,90.0,3,22,84,4,33,3,3,4,2,7,5,6,5,6,1,6,INFP
76,78.33,63.33,66.67,76.67,79.17,6,69,31,60,68,4,3,3,3,4,3,2,2,2,1,2,ESTJ
77,82.5,53.33,52.5,61.67,43.33,7,29,55,49,31,5,2,3,2,2,6,4,2,3,5,2,INFP
78,77.5,65.0,65.0,67.5,60.83,5,35,45,58,36,6,6,5,5,5,7,2,5,5,6,2,ISTP
79,84.17,58.33,61.67,76.67,63.33,4,49,78,43,18,6,3,3,2,3,7,5,5,7,5,2,INFP
80,74.17,65.83,48.33,79.17,75.0,2,8,84,42,57,5,2,6,5,7,6,7,2,5,3,2,INFJ
81,92.5,73.33,57.5,85.0,56.67,2,10,77,24,44,7,1,1,6,3,7,7,7,4,7,1,INFP
82,70.0,61.67,36.67,79.17,85.0,4,14,52,40,64,5,2,3,2,6,2,6,3,4,1,3,INFJ
83,93.33,53.33,67.5,64.17,78.33,3,37,73,28,24,5,2,7,4,5,7,1,4,7,2,1,INFP
84,72.5,87.5,51.67,83.33,68.33,3,24,44,22,64,6,3,4,5,4,3,5,6,1,4,4,ISFJ
85,82.5,37.5,55.83,84.17,79.17,5,37,81,29,19,2,3,6,2,7,6,5,4,7,2,3,INFP
86,62.5,55.83,65.83,90.83,69.17,5,58,19,18,18,6,5,3,5,6,6,3,6,5,2,3,ESFP
87,70.83,53.33,32.5,92.5,73.33,6,10,30,40,30,6,1,1,4,5,2,6,4,3,4,4,ISFP
88,77.5,69.17,59.17,79.17,84.17,3,36,62,28,62,3,4,6,5,7,4,4,5,3,3,3,INFJ
89,84.17,45.0,34.17,90.0,90.0,6,28,82,37,19,7,1,1,1,7,5,6,7,6,2,1,INFP
90,62.5,60.0,40.83,60.0,60.83,6,15,41,73,46,5,2,4,4,2,5,7,3,5,6,4,ISTP
91,66.67,75.0,50.0,77.5,71.67,5,17,32,32,49,5,2,5,6,6,3,7,5,3,4,3,ISFP
92,80.0,77.5,45.83,82.5,75.0,4,14,70,22,57,5,2,5,3,5,2,6,5,3,5,4,INFJ
93,80.0,84.17,65.0,77.5,50.0,4,36,53,36,68,3,4,2,5,4,6,4,5,2,5,3,INFJ
94,71.67,89.17,56.67,82.5,56.67,4,37,59,49,67,5,3,4,6,5,4,5,6,4,6,6,INFJ
95,76.67,61.67,52.5,51.67,79.17,7,11,83,43,19,6,2,4,5,6,4,6,5,5,4,6,INFP
96,72.5,66.67,56.67,85.0,66.67,6,42,64,24,22,5,3,2,3,5,5,6,6,4,4,3,INFP
97,93.33,50.83,64.17,58.33,77.5,7,42,95,31,33,5,5,6,3,7,6,5,5,5,3,2,INFP
98,61.67,79.17,42.5,91.67,81.67,6,17,27,35,63,6,2,2,6,6,5,7,5,3,3,5,ISFJ
99,64.17,64.17,40.0,40.0,69.17,5,28,71,33,68,5,3,3,7,6,6,5,6,1,2,6,INFJ
100,82.5,73.33,40.83,71.67,90.0,5,3,80,61,57,7,1,3,3,4,3,4,3,3,2,3,INTJ
101,85.83,69.17,41.67,85.0,52.5,6,10,92,51,37,6,1,1,3,5,5,6,2,6,5,1,INTP
102,63.33,82.5,54.17,84.17,56.67,6,1,49,35,56,5,2,3,7,3,5,7,7,2,7,3,ISFJ
103,73.33,56.67,50.0,89.17,62.5,4,10,45,29,17,5,2,1,3,5,5,5,7,3,5,5,ISFP
104,61.67,84.17,70.83,68.33,74.17,2,67,19,54,61,6,5,7,7,7,6,2,2,1,2,4,ESTJ
105,62.5,55.83,59.17,74.17,62.5,7,57,26,54,28,5,5,3,3,5,5,5,4,6,6,3,ESTP
106,80.83,73.33,53.33,48.33,60.0,6,21,85,90,68,7,2,5,3,5,7,7,1,2,6,5,INTJ
107,74.17,70.0,49.17,69.17,81.67,7,31,37,43,26,3,3,6,4,5,6,4,3,2,2,6,ISFP
108,75.83,76.67,70.83,86.67,59.17,6,40,53,10,60,6,5,2,6,6,5,3,6,4,5,5,INFJ
109,83.33,55.0,75.0,79.17,74.17,3,81,62,36,37,5,6,6,2,3,6,3,5,3,2,2,ENFP
110,81.67,61.67,55.0,58.33,77.5,5,28,71,51,29,6,1,5,5,7,7,7,5,6,4,1,INTP
111,74.17,68.33,85.0,76.67,48.33,6,68,69,53,56,6,4,4,1,1,4,2,3,2,3,2,ENTJ
112,75.0,62.5,52.5,80.0,65.0,6,37,62,21,42,5,3,5,4,5,6,5,6,5,4,3,INFP
113,65.0,42.5,63.33,74.17,86.67,5,24,53,54,37,6,3,5,6,7,5,5,5,6,5,5,INTP
114,76.67,73.33,26.67,84.17,77.5,6,4,55,22,72,5,2,1,5,5,2,7,6,5,4,7,INFJ
115,90.0,73.33,65.0,88.33,41.67,5,37,76,7,53,6,3,1,6,2,5,4,7,4,5,3,INFJ
116,73.33,32.5,29.17,78.33,95.0,5,0,39,29,26,3,1,3,6,7,5,7,6,7,1,4,ISFP
117,79.17,40.0,40.0,55.0,74.17,4,28,80,76,19,7,1,6,1,2,7,3,3,5,1,1,INTP
118,73.33,44.17,48.33,60.83,86.67,6,21,67,74,46,7,2,6,1,5,4,7,4,7,4,4,INTP
119,86.67,78.33,69.17,80.83,65.83,5,44,77,29,49,4,5,2,5,1,7,3,5,2,6,2,INFP
120,75.0,52.5,19.17,20.0,54.17,4,11,77,68,67,7,1,5,6,2,5,7,4,4,6,3,INTJ
121,86.67,47.5,74.17,77.5,57.5,5,67,76,40,21,5,7,4,3,3,6,4,7,7,6,4,ENFP
122,75.83,37.5,49.17,41.67,80.0,4,11,63,64,19,6,2,6,1,5,6,5,2,7,2,1,INTP
123,69.17,62.5,54.17,75.0,61.67,7,47,39,68,28,6,4,3,3,2,5,7,6,4,6,5,ISTP
124,82.5,64.17,36.67,90.0,89.17,6,17,88,11,22,7,1,2,4,7,4,5,6,3,3,1,INFP
125,84.17,59.17,68.33,85.83,61.67,4,18,71,22,33,6,4,2,3,5,6,4,7,5,5,1,INFP
126,75.0,63.33,40.0,89.17,67.5,6,15,85,28,72,7,2,3,5,5,4,6,6,3,4,2,INFJ
127,79.17,40.0,40.0,55.0,74.17,4,28,80,76,19,7,1,6,1,2,7,3,3,5,1,1,INTP
128,75.0,71.67,85.0,73.33,35.83,6,81,67,28,35,6,6,4,5,4,7,2,6,4,5,1,ENFP
129,65.83,47.5,40.0,93.33,67.5,6,24,17,28,14,5,1,2,5,3,2,7,6,2,6,5,ISFP
130,79.17,65.83,59.17,69.17,76.67,4,46,78,35,37,6,2,3,4,6,5,6,5,1,2,5,INFP
131,73.33,65.0,57.5,50.83,76.67,5,15,53,86,57,7,3,7,7,6,5,4,5,3,4,2,INTJ
132,65.0,68.33,36.67,80.83,55.0,5,8,51,33,54,6,3,5,6,4,3,7,6,5,4,2,INFJ
133,70.83,64.17,57.5,78.33,53.33,4,32,50,60,24,5,4,3,2,4,4,6,4,5,5,3,INTP
134,78.33,85.0,70.0,65.0,43.33,5,43,59,61,74,6,5,6,7,2,6,4,2,6,6,2,INTJ
135,75.83,76.67,70.83,86.67,59.17,6,40,53,10,60,6,5,2,6,6,5,3,6,4,5,5,INFJ
136,74.17,72.5,55.83,60.83,78.33,6,37,92,54,49,5,4,5,4,6,7,5,4,3,2,2,INTP
137,70.83,39.17,39.17,65.83,84.17,7,1,39,88,22,7,1,3,4,5,5,6,6,6,4,5,ISTP
138,70.0,45.83,36.67,62.5,82.5,5,25,55,69,35,2,2,6,2,5,4,7,2,6,3,5,INTP
139,44.17,55.0,58.33,69.17,55.0,3,35,24,75,21,5,3,3,3,3,4,3,4,4,6,7,ISTP
140,70.83,88.33,56.67,87.5,43.33,4,33,28,26,71,6,3,1,6,5,5,6,6,2,5,5,ISFJ
